"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g"
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,NA
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,NA,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,NA
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,NA,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,NA,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,NA,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,NA
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
3,1,47.2145421474734,14.9825633535379,217,4998
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
1,2,39.3619632819954,18.3723178133642,188,3910
2,2,48.2582537557351,17.9128801691808,194,3589
1,2,39.3619632819954,18.3723178133642,188,3910
3,1,47.2145421474734,14.9825633535379,217,4998
1,2,39.3619632819954,18.3723178133642,188,3910
